ID,PROMPT,X,Y,D,norm_X,norm_Y
34573,red car parked,511.5402818277933,383.5705430409979,100.0,0.4995510564724544,0.49944081125129935
34573,red car parked,644.0,132.0,336.0000252723694,0.62890625,0.171875
34573,red car parked,838.0,174.0,408.0000221729279,0.818359375,0.2265625
34573,red car parked,680.0,117.0,364.0000224113464,0.6640625,0.15234375
34573,red car parked,727.0,93.0,288.0000174045563,0.7099609375,0.12109375
46954,white car in lower left corner foreground,512.0220174024698,383.49410548622507,100.0,0.5000215013695994,0.4993412831851889
46954,white car in lower left corner foreground,234.0,420.0,316.0000145435333,0.228515625,0.546875
46954,white car in lower left corner foreground,449.0,224.0,492.000013589859,0.4384765625,0.2916666666666667
46954,white car in lower left corner foreground,275.0,734.0,131.99999928474426,0.2685546875,0.9557291666666666
46954,white car in lower left corner foreground,124.0,534.0,128.00000607967377,0.12109375,0.6953125
46954,white car in lower left corner foreground,268.0,640.0,184.00001525878903,0.26171875,0.8333333333333334
46954,white car in lower left corner foreground,212.0,546.0,168.0000126361847,0.20703125,0.7109375
46954,white car in lower left corner foreground,220.0,582.0,284.0000092983246,0.21484375,0.7578125
46954,white car in lower left corner foreground,222.0,530.0,204.00001108646396,0.216796875,0.6901041666666666
15021,black car behind red car,511.6263797731578,384.8098981026666,100.0,0.4996351364972244,0.5010545548211804
15021,black car behind red car,532.0,731.0,492.000013589859,0.51953125,0.9518229166666666
15021,black car behind red car,687.0,554.0,204.00001108646396,0.6708984375,0.7213541666666666
15021,black car behind red car,437.0,631.0,320.000022649765,0.4267578125,0.8216145833333334
15021,black car behind red car,829.0,581.0,300.00001192092896,0.8095703125,0.7565104166666666
15021,black car behind red car,634.0,742.0,260.0000202655792,0.619140625,0.9661458333333334
15021,black car behind red car,376.0,737.0,520.0000405311584,0.3671875,0.9596354166666666
6987,white vehicle lower left corner,512.1874132281976,384.7419370189661,100.0,0.5001830207306617,0.5009660638267788
6987,white vehicle lower left corner,682.0,585.0,208.0000042915344,0.666015625,0.76171875
6987,white vehicle lower left corner,792.0,585.0,444.0000355243683,0.7734375,0.76171875
6987,white vehicle lower left corner,120.0,634.0,168.0000126361847,0.1171875,0.8255208333333334
6987,white vehicle lower left corner,840.0,669.0,116.00000411272048,0.8203125,0.87109375
6987,white vehicle lower left corner,167.0,692.0,548.0000376701355,0.1630859375,0.9010416666666666
6987,white vehicle lower left corner,112.0,684.0,684.0000152587891,0.109375,0.890625
42880,right car dark,512.5085506036128,384.42725381936816,100.0,0.5004966314488406,0.5005563200773023
42880,right car dark,910.0,695.0,256.00001215934753,0.888671875,0.9049479166666666
42880,right car dark,997.0,641.0,424.0000247955322,0.9736328125,0.8346354166666666
42880,right car dark,943.0,697.0,120.00000476837158,0.9208984375,0.9075520833333334
42880,right car dark,876.0,654.0,244.00001764297485,0.85546875,0.8515625
49168,yellow car,512.9597754808576,384.717745467468,100.0,0.500937280743025,0.5009345644107656
49168,yellow car,890.0,431.0,472.0000326633453,0.869140625,0.5611979166666666
49168,yellow car,838.0,418.0,524.0000486373901,0.818359375,0.5442708333333334
49168,yellow car,885.0,422.0,188.0000084638596,0.8642578125,0.5494791666666666
41720,white car in front of bus,511.7796593806647,383.62012204928953,100.0,0.4997848236139304,0.4995053672516791
41720,white car in front of bus,536.0,441.0,460.0000083446503,0.5234375,0.57421875
41720,white car in front of bus,645.0,492.0,340.0000035762787,0.6298828125,0.640625
41720,white car in front of bus,501.0,529.0,104.0000021457672,0.4892578125,0.6888020833333334
41720,white car in front of bus,587.0,540.0,424.0000247955322,0.5732421875,0.703125
41720,white car in front of bus,478.0,428.0,263.9999985694885,0.466796875,0.5572916666666666
41720,white car in front of bus,280.0,478.0,388.0000114440918,0.2734375,0.6223958333333334
41720,white car in front of bus,224.0,272.0,332.0000171661377,0.21875,0.3541666666666667
47953,red pillow on left,512.259206355901,383.66561058633545,100.0,0.5002531312069346,0.4995645971176243
47953,red pillow on left,217.0,574.0,240.0000095367432,0.2119140625,0.7473958333333334
47953,red pillow on left,374.0,688.0,268.0000066757202,0.365234375,0.8958333333333334
47953,red pillow on left,288.0,592.0,512.0000243186951,0.28125,0.7708333333333334
47953,red pillow on left,32.0,437.0,348.00001978874207,0.03125,0.5690104166666666
47953,red pillow on left,63.0,483.0,476.0000109672546,0.0615234375,0.62890625
43376,couch in front of window,511.3890770436136,383.8920121221615,100.0,0.4994033955504039,0.49985939078406444
43376,couch in front of window,236.0,484.0,400.0000059604645,0.23046875,0.6302083333333334
43376,couch in front of window,125.0,635.0,260.0000202655792,0.1220703125,0.8268229166666666
43376,couch in front of window,275.0,431.0,544.0000295639038,0.2685546875,0.5611979166666666
43376,couch in front of window,238.0,545.0,148.00000190734863,0.232421875,0.7096354166666666
43376,couch in front of window,421.0,533.0,200.00000298023224,0.4111328125,0.6940104166666666
43376,couch in front of window,598.0,586.0,136.00000739097595,0.583984375,0.7630208333333334
13769,couch lower left corner,512.9424407057751,383.2158920390842,100.0,0.5009203522517335,0.49897902609255756
13769,couch lower left corner,831.0,632.0,280.0000011920929,0.8115234375,0.8229166666666666
13769,couch lower left corner,679.0,739.0,840.0000333786011,0.6630859375,0.9622395833333334
13769,couch lower left corner,876.0,638.0,404.00001406669617,0.85546875,0.8307291666666666
13769,couch lower left corner,70.0,442.0,320.000022649765,0.068359375,0.5755208333333334
13769,couch lower left corner,325.0,673.0,384.0000033378601,0.3173828125,0.8763020833333334
24150,tan seat cushion behind computer,513.0002380704938,383.9187817431811,100.0,0.5009767949907166,0.49989424706143376
24150,tan seat cushion behind computer,574.0,156.0,184.00001525878903,0.560546875,0.203125
24150,tan seat cushion behind computer,64.0,137.0,504.0000081062317,0.0625,0.17838541666666666
24150,tan seat cushion behind computer,481.0,170.0,272.0000147819519,0.4697265625,0.22135416666666666
24150,tan seat cushion behind computer,241.0,155.0,368.0000305175781,0.2353515625,0.20182291666666666
24150,tan seat cushion behind computer,521.0,5.0,408.0000221729279,0.5087890625,0.006510416666666667
24150,tan seat cushion behind computer,455.0,271.0,536.0000133514404,0.4443359375,0.3528645833333333
11023,couch on left,511.9283287185278,383.4542311717743,100.0,0.4999300085141873,0.4992893635049145
11023,couch on left,637.0,281.0,428.0000329017639,0.6220703125,0.3658854166666667
11023,couch on left,837.0,285.0,208.0000042915344,0.8173828125,0.37109375
11023,couch on left,187.0,383.0,960.0000381469728,0.1826171875,0.4986979166666667
11023,couch on left,112.0,433.0,456.00003004074097,0.109375,0.5638020833333334
18170,couch to left of old man,511.3388783745298,383.7949243086105,100.0,0.4993543734126268,0.49973297436016995
18170,couch to left of old man,230.0,533.0,504.0000081062317,0.224609375,0.6940104166666666
18170,couch to left of old man,154.0,751.0,272.0000147819519,0.150390625,0.9778645833333334
18170,couch to left of old man,177.0,524.0,488.0000352859497,0.1728515625,0.6822916666666666
18170,couch to left of old man,163.0,634.0,316.0000145435333,0.1591796875,0.8255208333333334
18170,couch to left of old man,110.0,582.0,296.00000381469727,0.107421875,0.7578125
18170,couch to left of old man,147.0,575.0,248.00001084804532,0.1435546875,0.7486979166666666
18170,couch to left of old man,166.0,679.0,180.00000715255737,0.162109375,0.8841145833333334
26844,green truck on left front of row,512.0895126075377,383.1032086833142,100.0,0.5000874146557985,0.4988323029730654
26844,green truck on left front of row,119.0,459.0,344.0000116825104,0.1162109375,0.59765625
26844,green truck on left front of row,126.0,542.0,292.000025510788,0.123046875,0.7057291666666666
26844,green truck on left front of row,120.0,537.0,212.0000123977661,0.1171875,0.69921875
26844,green truck on left front of row,127.0,543.0,88.00000697374344,0.1240234375,0.70703125
26844,green truck on left front of row,138.0,436.0,208.0000042915344,0.134765625,0.5677083333333334
26844,green truck on left front of row,69.0,749.0,180.00000715255737,0.0673828125,0.9752604166666666
26844,green truck on left front of row,183.0,596.0,276.0000228881836,0.1787109375,0.7760416666666666
26844,green truck on left front of row,143.0,478.0,364.0000224113464,0.1396484375,0.6223958333333334
13450,right back train behind green poles,511.8640658365092,384.9190850298504,100.0,0.499867251793466,0.5011967252992844
13450,right back train behind green poles,494.0,468.0,88.00000697374344,0.482421875,0.609375
13450,right back train behind green poles,637.0,534.0,480.0000190734863,0.6220703125,0.6953125
13450,right back train behind green poles,530.0,312.0,376.0000169277191,0.517578125,0.40625
13450,right back train behind green poles,683.0,380.0,316.0000145435333,0.6669921875,0.4947916666666667
13450,right back train behind green poles,568.0,417.0,560.0000023841858,0.5546875,0.54296875
13450,right back train behind green poles,911.0,487.0,472.0000326633453,0.8896484375,0.6341145833333334
13450,right back train behind green poles,846.0,499.0,664.0000343322754,0.826171875,0.6497395833333334
4519,second bus front,511.2708867978358,384.0567722504715,100.0,0.4992879753885115,0.5000739222011348
4519,second bus front,529.0,521.0,660.0000262260437,0.5166015625,0.6783854166666666
4519,second bus front,790.0,274.0,112.0000034570694,0.771484375,0.3567708333333333
4519,second bus front,327.0,483.0,284.0000092983246,0.3193359375,0.62890625
4519,second bus front,275.0,503.0,420.0000166893005,0.2685546875,0.6549479166666666
25205,bus on right in back,510.99361027511935,384.5537006369272,100.0,0.49901719753429624,0.500720964370999
25205,bus on right in back,492.0,394.0,527.999997138977,0.48046875,0.5130208333333334
25205,bus on right in back,379.0,442.0,296.00000381469727,0.3701171875,0.5755208333333334
25205,bus on right in back,838.0,366.0,616.0000562667847,0.818359375,0.4765625
25205,bus on right in back,887.0,379.0,180.00000715255737,0.8662109375,0.4934895833333333
