ID,PROMPT,X,Y,D
34573,red car parked,546.0,334.0,0.30000001192092896
34573,red car parked,571.0,119.0,0.09200000762939453
34573,red car parked,724.0,127.0,0.09600000083446503
34573,red car parked,538.0,65.0,0.1720000058412552
34573,red car parked,887.0,140.0,0.14400000870227814
34573,red car parked,840.0,117.0,0.320000022649765
34573,red car parked,791.0,120.0,0.12000000476837158
34573,red car parked,573.0,51.0,0.30000001192092896
46954,white car in lower left corner foreground,433.0,390.0,0.18400001525878906
46954,white car in lower left corner foreground,889.0,525.0,0.10400000214576721
46954,white car in lower left corner foreground,888.0,515.0,0.18800000846385956
46954,white car in lower left corner foreground,909.0,381.0,0.18800000846385956
46954,white car in lower left corner foreground,889.0,556.0,0.3160000145435333
46954,white car in lower left corner foreground,895.0,575.0,0.484000027179718
46954,white car in lower left corner foreground,897.0,588.0,0.11600000411272049
15021,black car behind red car,527.0,323.0,0.5040000081062317
15021,black car behind red car,378.0,699.0,0.3400000035762787
15021,black car behind red car,383.0,684.0,0.40800002217292786
15021,black car behind red car,267.0,691.0,0.08800000697374344
15021,black car behind red car,163.0,676.0,0.08400000631809235
15021,black car behind red car,305.0,594.0,0.14000000059604645
6987,white vehicle lower left corner,536.0,439.0,0.15600000321865082
6987,white vehicle lower left corner,62.0,477.0,0.1720000058412552
6987,white vehicle lower left corner,55.0,532.0,0.1080000028014183
6987,white vehicle lower left corner,20.0,542.0,0.19600000977516174
6987,white vehicle lower left corner,25.0,521.0,0.2639999985694885
6987,white vehicle lower left corner,692.0,582.0,0.4960000216960907
6987,white vehicle lower left corner,79.0,470.0,0.3880000114440918
42880,right car dark,515.0,269.0,0.09200000762939453
42880,right car dark,948.0,535.0,0.2240000069141388
42880,right car dark,940.0,576.0,0.3720000088214874
42880,right car dark,957.0,574.0,0.12800000607967377
42880,right car dark,950.0,671.0,0.45600003004074097
42880,right car dark,941.0,627.0,0.30000001192092896
49168,yellow car,428.0,324.0,0.3440000116825104
49168,yellow car,900.0,386.0,0.23200000822544098
49168,yellow car,898.0,388.0,0.36000001430511475
49168,yellow car,880.0,382.0,0.3680000305175781
49168,yellow car,889.0,374.0,0.18400001525878906
49168,yellow car,890.0,406.0,0.12000000476837158
49168,yellow car,900.0,377.0,0.15600000321865082
41720,white car in front of bus,470.0,335.0,0.5040000081062317
41720,white car in front of bus,538.0,487.0,0.09600000083446503
41720,white car in front of bus,565.0,519.0,0.24400001764297485
41720,white car in front of bus,570.0,484.0,0.3720000088214874
41720,white car in front of bus,571.0,487.0,0.2200000137090683
41720,white car in front of bus,579.0,591.0,0.2200000137090683
47953,red pillow on left,471.0,330.0,0.18400001525878906
47953,red pillow on left,72.0,440.0,0.15600000321865082
47953,red pillow on left,125.0,453.0,0.3320000171661377
47953,red pillow on left,74.0,426.0,0.12800000607967377
47953,red pillow on left,71.0,537.0,0.35200002789497375
47953,red pillow on left,22.0,374.0,0.2800000011920929
47953,red pillow on left,89.0,368.0,0.23200000822544098
47953,red pillow on left,15.0,398.0,0.19200000166893005
43376,couch in front of window,490.0,324.0,0.15200001001358032
43376,couch in front of window,225.0,419.0,0.4000000059604645
43376,couch in front of window,231.0,438.0,0.25200000405311584
43376,couch in front of window,259.0,577.0,0.2840000092983246
43376,couch in front of window,287.0,581.0,0.5200000405311584
13769,couch lower left corner,468.0,358.0,0.35200002789497375
13769,couch lower left corner,331.0,624.0,0.18400001525878906
13769,couch lower left corner,171.0,623.0,0.12400000542402267
13769,couch lower left corner,219.0,571.0,0.3760000169277191
13769,couch lower left corner,221.0,632.0,0.20400001108646393
13769,couch lower left corner,160.0,631.0,0.3720000088214874
